Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Price
Air India,05/02/2023,Bangalore,Hyderabad,07:14,5h 47m,non-stop,5635
Air India,05/01/2023,Mumbai,Kolkata,00:05,7h 14m,non-stop,5899
SpiceJet,29/01/2023,Mumbai,Kolkata,14:37,9h 51m,non-stop,5304
Jet Airways,05/02/2023,Chennai,Cochin,04:13,25h 21m,non-stop,10439
Vistara,19/04/2023,Bangalore,Cochin,11:38,9h 51m,non-stop,5744
Air Asia,29/04/2023,Mumbai,New Delhi,12:05,18h 18m,2 stops,10682
SpiceJet,26/03/2023,Bangalore,New Delhi,07:49,10h 5m,1 stop,7274
Air India,28/02/2023,Chennai,Cochin,20:53,12h 10m,2 stops,9727
SpiceJet,30/04/2023,Delhi,Hyderabad,21:41,3h 38m,1 stop,4843
SpiceJet,29/04/2023,Kolkata,Cochin,20:44,18h 14m,2 stops,10726
IndiGo,14/04/2023,Kolkata,New Delhi,10:25,9h 4m,1 stop,7120
GoAir,05/03/2023,Kolkata,Hyderabad,12:56,21h 29m,1 stop,9292
Jet Airways,13/03/2023,Kolkata,Hyderabad,17:16,24h 37m,3 stops,16338
Vistara,18/01/2023,Delhi,Bangalore,16:31,3h 48m,non-stop,4513
Air India,21/01/2023,Kolkata,Hyderabad,21:27,20h 4m,3 stops,13281
Air Asia,12/03/2023,Mumbai,Cochin,00:43,24h 7m,2 stops,12574
GoAir,25/02/2023,Bangalore,Cochin,05:29,1h 46m,non-stop,4240
Jet Airways,22/04/2023,Mumbai,New Delhi,20:19,21h 32m,1 stop,11063
GoAir,10/04/2023,Kolkata,Delhi,16:58,1h 38m,non-stop,3250
IndiGo,23/04/2023,Bangalore,Cochin,09:15,2h 15m,non-stop,2175
Air Asia,09/04/2023,Bangalore,Delhi,04:08,22h 30m,1 stop,9542
Vistara,07/04/2023,Kolkata,Delhi,23:44,7h 45m,2 stops,7567
GoAir,27/02/2023,Chennai,Delhi,03:15,8h 4m,2 stops,7043
SpiceJet,01/01/2023,Mumbai,Bangalore,02:45,21h 3m,1 stop,8388
IndiGo,05/02/2023,Delhi,Bangalore,21:31,7h 34m,1 stop,6231
Air Asia,13/01/2023,Kolkata,Bangalore,03:42,14h 22m,3 stops,10841
Air Asia,25/03/2023,Bangalore,Hyderabad,20:06,2h 25m,2 stops,7139
Air India,25/01/2023,Kolkata,Bangalore,17:28,5h 27m,1 stop,6320
Air Asia,26/02/2023,Kolkata,New Delhi,17:06,2h 41m,non-stop,4484
Air India,22/02/2023,Kolkata,Bangalore,15:30,7h 55m,3 stops,11098
IndiGo,19/02/2023,Kolkata,New Delhi,08:59,15h 18m,3 stops,11176
Air Asia,07/02/2023,Kolkata,Bangalore,06:03,19h 47m,non-stop,8281
GoAir,16/03/2023,Bangalore,New Delhi,15:32,17h 10m,non-stop,8217
